# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
shuo ming wan bi 	說明完畢	c=1 d=1 t=9969
si 	思	c=1 d=1 t=12856
si 	斯	c=0 d=0.1 t=1095
si 	死	c=0 d=0.1 t=10245
si bian 	思辨	c=1 d=1 t=13735
si du shu 	死讀書	c=1 d=1 t=10246
si ge 	四個	c=1 d=1 t=17106
si hou 	死後	c=0 d=0.1 t=734
si hu 	似乎	c=5 d=3.7074 t=13519
si ji 	司機	c=1 d=1 t=672
si ji 	四季	c=2 d=1.92312 t=691
si ji 	四級	c=1 d=1 t=674
si ji 	死機	c=1 d=1 t=673
si kao 	思考	c=14 d=3.55992 t=10387
si liu ji 	四六級	c=1 d=1 t=530
si lu 	思路	c=1 d=0.1 t=14058
si tong 	四通	c=0 d=0.1 t=2954
si tong dao 	四通到	c=1 d=1 t=2955
si wei 	思維	c=4 d=3.49196 t=464
si xiang 	思想	c=6 d=1 t=17210
si xun huan 	死循環	c=1 d=1 t=5933
si yuan shu 	四元數	c=2 d=1.82283 t=17420
si zhang 	四章	c=1 d=1 t=5328
song 	宋	c=3 d=1.99501 t=14067
song 	松	c=1 d=1 t=685
sou ji 	蒐集	c=1 d=1 t=6337
sou suo 	搜索	c=12 d=1 t=14974
sou suo dao 	搜索到	c=1 d=1 t=1909
sou you 	搜遊	c=1 d=1 t=8543
su 	肅	c=1 d=1 t=679
su du 	速度	c=5 d=1 t=10886
su he 	肅和	c=1 d=1 t=3873
su xing 	甦醒	c=1 d=1 t=8515
su zhi 	素質	c=0 d=0.1 t=8081
suan 	算	c=1 d=1 t=13046
suan fa 	算法	c=28 d=1.00004 t=14008
suan ran 	算然	c=3 d=2.8113 t=4409
suan shi 	算是	c=7 d=2.1171 t=8764
suan zi 	算子	c=1 d=1 t=4991
sui bian 	隨便	c=1 d=1 t=195
sui biao 	歲表	c=1 d=1 t=11627
sui di 	隨地	c=1 d=1 t=15621
sui ge 	歲個	c=1 d=1 t=12506
sui ji 	隨機	c=3 d=1.9802 t=8067
sui ran 	雖然	c=7 d=1.00054 t=15719
sui shi 	隨時	c=3 d=1.00016 t=17364
sui zhe 	隨着	c=6 d=1.00007 t=12696
sun shi 	損失	c=1 d=0.101023 t=9452
sun shi han shu 	損失函數	c=1 d=1 t=9453
suo 	所	c=3 d=1.0004 t=17124
suo 	鎖	c=1 d=0.1 t=5562
suo bing 	鎖並	c=1 d=0.140967 t=5524
suo bing quan 	鎖並全	c=1 d=1 t=5525
suo fang 	縮放	c=2 d=1 t=8259
suo jian 	縮減	c=1 d=1 t=7736
suo shu 	所屬	c=1 d=1 t=3004
suo wei 	所謂	c=1 d=1 t=13424
suo xiao 	縮小	c=1 d=1 t=12922
suo yi 	所以	c=7 d=1.26186 t=16742
suo yin 	索引	c=1 d=1.07045 t=2949
suo yin kuai 	索引塊	c=1 d=1 t=2950
suo you 	所有	c=16 d=1.86502 t=16454
suo you quan 	所有權	c=6 d=2.66594 t=5728
suo you zhe 	所有者	c=1 d=1 t=5208
ta 	他	c=2 d=1 t=14802
ta 	塔	c=2 d=1.65755 t=13087
ta 	它	c=27 d=2.27076 t=13198
ta de 	他的	c=1 d=1 t=7565
ta hui 	他會	c=1 d=1 t=11450
ta lia 	他倆	c=0 d=0.1 t=1008
ta man 	他慢	c=2 d=1 t=7297
ta men 	他們	c=7 d=1.97045 t=10143
ta ren 	他人	c=1 d=1 t=9646
ta shi 	他是	c=1 d=1 t=5402
ta shi 	踏實	c=1 d=1 t=6090
tai 	太	c=3 d=1.07597 t=14981
tai ci 	臺詞	c=1 d=1 t=14171
tai da 	太大	c=4 d=1.00004 t=8391
tai du 	態度	c=1 d=1 t=13116
tai duo 	太多	c=2 d=1 t=16910
tai guo 	太過	c=0 d=0.1 t=5082
tai guo shen ru 	太過深入	c=1 d=1 t=5083
tai qiang 	太強	c=0 d=0.1 t=8599
tai shao 	太少	c=1 d=1 t=8394
tai xi 	太息	c=1 d=1 t=2087
tai zheng 	太正	c=1 d=1 t=6333
tai zhi 	太直	c=0 d=0.1 t=5493
tai zhi jie 	太直接	c=1 d=1 t=8891
tan chu 	彈出	c=2 d=1.62814 t=11371
tan suo 	探索	c=9 d=1 t=13293
tan ta 	坍塌	c=1 d=1 t=15457
tang luo 	鐋鑼	c=1 d=1 t=10897
tao 	套	c=1 d=1 t=14485
tao chu 	掏出	c=1 d=1 t=4323
tao dao 	逃到	c=1 d=1 t=8753
tao lun 	討論	c=1 d=1 t=16134
tao suo 	套索	c=1 d=1 t=8178
tao yan 	討厭	c=1 d=1 t=13151
tao zheng 	套正	c=1 d=1 t=3344
te 	特	c=0 d=0.1 t=9723
te beng xian 	特崩陷	c=1 d=1 t=9724
te bie 	特別	c=4 d=1 t=17168
te bie nan 	特別難	c=1 d=1 t=3171
te dian 	特點	c=1 d=1 t=4332
te ding 	特定	c=7 d=1.00031 t=12323
te shu 	特殊	c=2 d=1.13332 t=12799
te shu de 	特殊的	c=1 d=1 t=2929
te xing 	特性	c=1 d=1 t=14211
te xing shi 	特性是	c=1 d=1 t=2612
te yi 	特異	c=2 d=1.00289 t=12381
te you 	特有	c=1 d=1 t=16933
te zheng 	特徵	c=79 d=2.45761 t=12693
te zheng ceng 	特徵層	c=1 d=1 t=6386
te zheng tu 	特徵圖	c=3 d=1.76338 t=12840
te zhui gan 	特追趕	c=1 d=1 t=925
teng xun 	騰訊	c=3 d=1.0046 t=17401
teng xun yun 	騰訊雲	c=2 d=1.05029 t=17384
ti 	提	c=2 d=1.99503 t=2124
ti 	體	c=6 d=0.845864 t=14096
ti ba 	提拔	c=1 d=1 t=17231
ti chang 	體長	c=2 d=1.72615 t=2114
ti chi 	體尺	c=15 d=5.56544 t=14044
ti chu 	提出	c=24 d=1.00886 t=14010
ti chu le 	提出了	c=4 d=1.06199 t=4003
ti chun 	提純	c=1 d=1 t=17407
ti dao 	提到	c=2 d=1 t=12774
ti di li 	提地理	c=1 d=1 t=445
ti du 	梯度	c=25 d=1.00001 t=10961
ti gao 	提告	c=1 d=1 t=3166
ti gao 	提高	c=29 d=1.00007 t=16313
ti gao 	體高	c=3 d=1.75581 t=2115
ti gong 	提供	c=11 d=1.10644 t=15850
ti huan 	替換	c=3 d=1.44486 t=11032
ti hui 	體會	c=3 d=1 t=10190
ti ji 	體積	c=1 d=1 t=5009
ti jian 	體檢	c=1 d=1 t=10858
ti jiao 	提交	c=1 d=1 t=17030
ti keng 	體坑	c=1 d=1 t=10899
ti kuan 	體寬	c=1 d=1 t=2058
ti lei 	涕淚	c=0 d=0.1 t=5274
ti lei xing 	涕淚型	c=1 d=1 t=5275
ti mu 	題目	c=3 d=1.00401 t=15558
ti qian 	提前	c=4 d=1 t=9148
ti qu 	提取	c=15 d=1.00004 t=17426
ti qu qi 	提取其	c=1 d=1 t=959
ti quan 	提權	c=1 d=1 t=15369
ti sheng 	提升	c=4 d=1.00577 t=13733
ti shi 	提示	c=2 d=1.99005 t=14393
ti su 	體素	c=28 d=1.97531 t=15898
ti suan 	體算	c=1 d=1 t=7194
ti sui 	提歲	c=1 d=1 t=4933
ti te zheng 	體特徵	c=1 d=1 t=6385
ti xian 	體現	c=1 d=1 t=17324
ti xing 	提醒	c=2 d=1 t=10242
ti xing 	體型	c=2 d=1 t=10241
ti zhi liang 	體質量	c=2 d=1.99501 t=14098
ti zhong 	體重	c=41 d=5.89689 t=16982
tian 	天	c=5 d=1.009 t=15468
tian 	田	c=2 d=1.28794 t=14525
tian cheng 	天成	c=1 d=1 t=4428
tian chong 	填充	c=3 d=1 t=9498
tian e 	天鵝	c=1 d=1 t=15734
tian jia 	添加	c=6 d=1.67368 t=16854
tian jin 	天津	c=6 d=1.0284 t=15935
tian jin shi 	天津市	c=1 d=1 t=16104
tian le 	天樂	c=1 d=1 t=3823
tian qi 	天氣	c=2 d=1.98511 t=15720
tian xia 	天下	c=2 d=1 t=5015
tiao 	條	c=1 d=1 t=6718
tiao 	跳	c=1 d=1 t=14287
tiao dao 	跳到	c=2 d=1 t=15967
tiao guo 	跳過	c=1 d=1 t=11467
tiao jian 	條件	c=4 d=1.00956 t=17191
tiao jian he 	條件核	c=1 d=1 t=11216
tiao jian xia 	條件下	c=1 d=1 t=16252
tiao jie 	調節	c=1 d=1 t=15337
tiao le 	挑了	c=1 d=1 t=16373
tiao le 	調了	c=1 d=1 t=16367
tiao li 	條例	c=1 d=1 t=17340
tiao pi 	調皮	c=1 d=1 t=13312
tiao shi 	調試	c=6 d=1.18269 t=14319
tiao shi qi 	調試器	c=3 d=2.68312 t=11424
tiao zhan 	挑戰	c=4 d=1.24171 t=10927
tiao zheng 	調整	c=6 d=1.25158 t=16460
tiao zhuan 	跳轉	c=1 d=1 t=11874
tie chu 	貼出	c=0 d=0.1 t=1306
tie he 	貼合	c=1 d=1 t=14418
tie shang 	貼上	c=2 d=1.96079 t=2482
tie si 	鐵絲	c=1 d=1 t=15458
tie zi 	帖子	c=1 d=1 t=15011
ting 	聽	c=0 d=0.1 t=14529
ting dun 	停頓	c=1 d=1 t=130
ting jue 	聽覺	c=1 d=1 t=6525
ting liang kuai 	聽涼快	c=1 d=1 t=14530
ting zhi 	挺直	c=1 d=1 t=693
tong 	同	c=3 d=1 t=14074
tong 	通	c=2 d=1.956 t=14084
tong bu 	同步	c=2 d=1 t=16465
tong chang 	通常	c=6 d=1.00364 t=12394
tong chang shi 	通常是	c=1 d=1 t=11275
tong dao 	通道	c=25 d=2.91479 t=16807
tong dao jian 	通道間	c=1 d=1 t=9411
tong guo 	通過	c=38 d=2.74441 t=16794
tong ji 	統計	c=13 d=4.24309 t=16170
tong ku 	痛苦	c=3 d=1 t=13066
tong nian 	童年	c=1 d=1 t=13264
tong pei fu 	通配符	c=1 d=1 t=2314
tong shi 	同時	c=9 d=1.00199 t=14006
tong shun 	通順	c=0 d=0.1 t=9721
tong tou 	通透	c=1 d=1 t=15712
tong xin 	通信	c=1 d=1 t=16998
tong xue 	同學	c=2 d=1.15961 t=14908
tong xun 	通訊	c=0 d=0.1 t=13859
tong xun ceng 	通訊層	c=1 d=1 t=13860
tong yi 	統一	c=6 d=1.00002 t=16643
tong yong 	通用	c=3 d=1 t=15070
tong zai 	同在	c=1 d=1 t=13289
tou 	頭	c=3 d=0.100522 t=16957
tou gao 	投稿	c=1 d=1 t=14222
tou kui 	頭盔	c=1 d=1 t=17068
tou ying 	投影	c=2 d=1 t=14674
tu 	圖	c=27 d=1.16464 t=16940
tu chu 	突出	c=1 d=1 t=14457
tu de 	突的	c=1 d=1 t=6345
tu di 	土地	c=0 d=0.1 t=445
tu di li 	土地裏	c=1 d=1 t=446
tu dui 	土堆	c=1 d=1 t=1798
tu hua 	圖畫	c=1 d=1 t=13241
tu jie 	圖解	c=1 d=1 t=6623
tu pian 	圖片	c=30 d=1.96976 t=16254
tu po 	突破	c=1 d=1 t=1760
tu qi 	凸起	c=4 d=3.84655 t=2074
tu ran 	突然	c=0 d=0.1 t=347
tu ran xiang 	突然想	c=1 d=1 t=348
tu shan 	塗山	c=0 d=0.1 t=4677
tu shan shi 	塗山是	c=1 d=1 t=4678
tu shu guan 	圖書館	c=1 d=1 t=13174
tu xian 	凸顯	c=1 d=1 t=13901
tu xiang 	圖像	c=18 d=2.93068 t=16947
tu xing 	圖形	c=2 d=1 t=7101
tu zai 	屠宰	c=1 d=1 t=15280
tu zeng 	徒增	c=1 d=1 t=5935
tui chu 	推出	c=4 d=1.99005 t=11302
tui chu 	退出	c=1 d=1 t=11304
tui dao 	推到	c=4 d=1 t=15698
tui dong 	推動	c=1 d=1 t=1784
tui duan 	推斷	c=7 d=1 t=15304
tui jian 	推薦	c=1 d=1 t=17358
tui li 	推理	c=1 d=1 t=6520
tui song 	推送	c=1 d=1 t=15871
tui xiu 	退休	c=1 d=1 t=15616
tun 	臀	c=2 d=1.08937 t=1759
tun gao 	臀高	c=1 d=1 t=2056
tun kuan 	臀寬	c=1 d=1 t=2059
tuo li 	脫離	c=1 d=1 t=5422
tuo zhan 	拓展	c=8 d=1.90937 t=17064
tuo zhan dao 	拓展到	c=1 d=1 t=3686
tuo zhan xing 	拓展性	c=1 d=1 t=12945
wa 	瓦	c=1 d=1 t=16878
wa jue 	挖掘	c=1 d=1 t=15081
wai bu 	外部	c=1 d=1 t=5228
wai o 	外哦	c=2 d=1.99501 t=9434
wai sheng 	外甥	c=0 d=0.1 t=325
wai sheng nv 	外甥女	c=1 d=1 t=334
wan 	完	c=2 d=1.03354 t=8157
wan 	萬	c=1 d=1 t=17400
wan bi 	完畢	c=0 d=0.1 t=9968
wan cheng 	完成	c=18 d=1.00004 t=14352
wan dao 	彎刀	c=1 d=1 t=13370
wan jie 	完結	c=1 d=1 t=226
wan ju 	玩具	c=1 d=1 t=13815
wan mei 	完美	c=2 d=1 t=10089
wan neng 	萬能	c=1 d=1 t=14409
wan qu 	彎曲	c=1 d=1 t=14038
wan quan 	完全	c=1 d=1 t=5584
wan shan 	完善	c=2 d=1.98511 t=2305
wan shang 	晚上	c=2 d=1.95123 t=13175
wan zheng 	完整	c=3 d=1 t=14353
wang 	往	c=1 d=1 t=15590
wang 	望	c=1 d=1 t=2129
wang 	網	c=3 d=1.00495 t=16411
wang chang 	往常	c=1 d=1 t=162
wang cheng 	王城	c=1 d=1 t=8041
wang ge 	網格	c=1 d=1 t=5014
wang ka 	網卡	c=1 d=1 t=16060
wang lai 	往來	c=1 d=1.00024 t=8124
wang lai o 	往來哦	c=1 d=1 t=6921
wang luo 	網絡	c=123 d=1.35303 t=16970
wang luo de 	網絡的	c=2 d=1 t=10877
wang luo jie gou 	網絡結構	c=1 d=1 t=6244
wang luo o 	網絡哦	c=1 d=1 t=10837
wang luo tou 	網絡頭	c=1 d=1 t=16958
wang wo 	忘我	c=2 d=1.93239 t=3605
wang xin 	王欣	c=1 d=1 t=17399
wang ye 	網頁	c=1 d=1 t=14994
wang yi 	網易	c=1 d=1 t=3183
wang zhi 	網址	c=1 d=1 t=7865
wei 	僞	c=1 d=1 t=12789
wei 	圍	c=1 d=1 t=2061
wei 	微	c=3 d=1 t=17073
wei 	未	c=3 d=1 t=17074
wei 	爲	c=29 d=1.88001 t=13777
wei 	維	c=1 d=1 t=12715
wei ba 	尾巴	c=1 d=1 t=2053
wei bu wei 	僞部位	c=5 d=1.98068 t=12842
wei ding yi 	未定義	c=1 d=1 t=5599
wei du 	唯獨	c=1 d=1 t=9423
wei du 	維度	c=5 d=1 t=15022
wei fen 	微分	c=18 d=1.66457 t=7997
wei fen nan 	微分難	c=1 d=1 t=7259
wei feng 	微風	c=1 d=1 t=15804
wei gui 	違規	c=1 d=1 t=17188
wei hai 	危害	c=1 d=1 t=17344
wei he 	爲何	c=1 d=1 t=9487
wei hu 	維護	c=2 d=1.00217 t=17292
wei ji 	違紀	c=1 d=1 t=17158
wei jie 	慰藉	c=1 d=1 t=14762
wei lai 	未來	c=9 d=1.26847 t=14157
wei le 	爲了	c=7 d=1 t=14160
wei ruan 	微軟	c=1 d=1 t=17053
wei sha 	爲啥	c=2 d=1 t=15418
wei shi xian 	未實現	c=1 d=1 t=2355
wei tu 	位圖	c=1 d=1 t=2879
wei tuo 	委託	c=1 d=1 t=13548
wei wen 	未聞	c=1 d=1 t=14966
wei xin 	微信	c=4 d=1 t=5819
wei xing 	衛星	c=1 d=1 t=1018
wei zheng 	爲證	c=1 d=1 t=715
wei zhi 	位置	c=31 d=1.00035 t=15892
wei zhi 	未知	c=1 d=1 t=4711
wei zhi 	爲止	c=1 d=1 t=5174
wei zhi can shu 	位置參數	c=1 d=1 t=12467
wen 	問	c=9 d=1.11857 t=17086
wen 	文	c=4 d=2.29924 t=10540
wen ben 	文本	c=3 d=1 t=9572
wen cheng 	文成	c=2 d=1 t=15253
wen dang 	文檔	c=3 d=1.00038 t=15489
wen ding 	穩定	c=2 d=1.00004 t=16413
wen fen 	文分	c=1 d=1 t=7047
wen feng 	文風	c=1 d=1 t=17367
wen hai 	文還	c=2 d=1 t=11990
wen he 	溫和	c=1 d=1 t=432
wen he li 	文和理	c=1 d=1 t=6084
wen hua 	文化	c=6 d=5.44844 t=461
wen hua shang 	文化上	c=1 d=1 t=401
wen huan 	問換	c=1 d=1 t=400
wen jian 	文件	c=31 d=1.14144 t=17427
wen li 	紋理	c=1 d=1 t=3545
wen mei 	紋眉	c=1 d=1 t=10097
wen re 	溫熱	c=1 d=1 t=258
wen ti 	問題	c=83 d=1.41841 t=17222
wen wen 	問問	c=1 d=1 t=102
wen xian 	文獻	c=2 d=1.90032 t=14315
wen ze 	問責	c=3 d=2.00316 t=17339
wen zhang 	文章	c=13 d=1.90866 t=15563
wen zheng 	文證	c=1 d=1 t=13564
wen zhong 	文中	c=7 d=4.09177 t=9971
wen zi 	文字	c=4 d=1.00149 t=14850
wo 	我	c=19 d=1.09391 t=16243
wo bei 	我輩	c=1 d=1 t=14904
wo cai 	我纔	c=1 d=1 t=15532
wo cheng ren 	我承認	c=1 d=1 t=606
wo gan jue 	我感覺	c=1 d=1 t=13377
wo guo 	我國	c=1 d=0.985112 t=746
wo hen ben 	我很笨	c=1 d=1 t=10426
wo ji de 	我記得	c=1 d=1 t=15749
wo jian 	我見	c=1 d=1 t=4828
wo jue 	我覺	c=2 d=1 t=10106
wo jue de 	我覺得	c=1 d=1 t=5937
wo man 	我慢	c=2 d=1.00001 t=4534
wo men 	我們	c=34 d=1.6444 t=16685
wo men de 	我們的	c=1 d=1 t=6038
wo xiang 	我想	c=2 d=1 t=15593
wo ye 	我也	c=1 d=1 t=2231
wo zao 	我早	c=0 d=0.1 t=119
wo zao xiang 	我早想	c=1 d=1 t=120
wo zhi dao 	我知道	c=1 d=1 t=1227
wu 	午	c=0 d=0.1 t=16881
wu 	無	c=3 d=1.99502 t=15884
wu biao qian 	無標籤	c=1 d=1 t=12013
wu cha 	誤差	c=5 d=1.00017 t=16308
wu chang 	無償	c=1 d=1 t=3373
wu dai ma 	無代碼	c=1 d=1 t=3521
wu fa 	無法	c=13 d=1.00129 t=16668
wu feng 	無風	c=0 d=0.1 t=14693
wu feng wu yu 	無風無雨	c=1 d=1 t=14694
wu ge 	五個	c=3 d=1.22091 t=12893
wu guan 	無關	c=2 d=1 t=14141
wu ji 	無幾	c=1 d=1 t=13394
wu jian 	無間	c=0 d=0.1 t=6532
wu jian du 	無間讀	c=1 d=1 t=6533
wu jie chu 	無接觸	c=1 d=1 t=13939
wu jue 	無覺	c=1 d=1 t=13077
wu kong 	悟空	c=1 d=1 t=11883
wu lei 	武磊	c=1 d=1 t=13869
wu li 	物理	c=11 d=1.80654 t=13445
wu li nei cun 	物理內存	c=1 d=1 t=2799
wu lun 	無論	c=3 d=1 t=10605
wu nai 	無奈	c=1 d=1 t=123
wu nian 	五年	c=1 d=1 t=15404
wu pin 	物品	c=1 d=1.09003 t=13006
wu pin ta 	物品塔	c=1 d=1 t=12986
wu qi 	武器	c=1 d=1 t=13446
wu shen 	無神	c=1 d=1 t=623
wu sheng 	無聲	c=1 d=1 t=13403
wu te zheng 	無特徵	c=1 d=1 t=3849
wu tong 	梧桐	c=2 d=1 t=11799
wu wo 	無我	c=1 d=1 t=3606
wu xian 	無線	c=3 d=1 t=17423
wu xu 	無需	c=1 d=1 t=8265
wu ya 	無涯	c=0 d=0.1 t=10173
wu yang 	五洋	c=1 d=1 t=15645
wu yu 	無雨	c=0 d=0.1 t=14693
wu zhi 	無知	c=1 d=1 t=13076
xi 	細	c=1 d=1 t=12019
xi an 	西安	c=5 d=1.0045 t=15591
xi bao 	細胞	c=1 d=1 t=6188
xi bei 	西北	c=4 d=1 t=15472
xi fang 	西方	c=1 d=1 t=447
xi gou 	析構	c=4 d=1.28647 t=11825
xi guan 	習慣	c=1 d=1 t=169
xi hou 	西后	c=1 d=1 t=11824
xi hu 	西湖	c=0 d=0.1 t=15721
xi huan 	喜歡	c=1 d=1 t=2232
xi ji 	襲擊	c=1 d=1 t=10573
xi jie 	細節	c=11 d=1.16352 t=16157
xi li 	犀利	c=1 d=1 t=8472
xi li du 	細粒度	c=3 d=1 t=8473
xi lie 	系列	c=1 d=1 t=16614
xi mo ru jin 	惜墨如金	c=1 d=1 t=13507
xi niu 	犀牛	c=1 d=1 t=2152
xi nong 	西農	c=1 d=1 t=17385
xi shou 	吸收	c=4 d=2.95915 t=7730
xi shu 	係數	c=1 d=1 t=1033
xi shu 	稀疏	c=3 d=1 t=8224
xi shu bian ma 	稀疏編碼	c=1 d=1 t=1036
xi tong 	系統	c=36 d=3.45226 t=16914
xi wang 	希望	c=6 d=1 t=14870
xi xi 	嘻嘻	c=1 d=1 t=5039
xi yao 	西藥	c=1 d=1 t=7792
xi yin 	吸引	c=3 d=1 t=15560
xi zhi 	細緻	c=2 d=1 t=9841
xia 	下	c=11 d=2.32636 t=17298
xia cai yang 	下採樣	c=3 d=1.94176 t=9345
xia jiang 	下降	c=1 d=1 t=10734
xia lai 	下來	c=5 d=1.8939 t=13063
xia mian 	下面	c=4 d=1 t=10125
xia qu 	下去	c=1 d=1 t=13080
xia wen 	下文	c=1 d=1 t=1927
xia you 	下游	c=2 d=1.9802 t=12627
xia yu 	下雨	c=1 d=1 t=14524
xia zai 	下載	c=2 d=1.9802 t=16839
xia zi 	匣子	c=1 d=1 t=15087
xian 	先	c=4 d=0.119841 t=16194
xian 	線	c=4 d=0.46071 t=15408
xian ai 	腺癌	c=1 d=1 t=13417
xian cheng 	線程	c=7 d=3.24235 t=16678
xian cheng 	縣城	c=3 d=2.3971 t=5595
xian cun 	顯存	c=1 d=1 t=2275
xian dai 	現代	c=6 d=1 t=16697
xian dui 	先對	c=1 d=1 t=15175
xian ji 	縣級	c=2 d=1.81873 t=4698
xian ka 	顯卡	c=4 d=2.42243 t=13884
xian lian 	先零	c=1 d=1 t=8025
xian liang 	限量	c=1 d=1 t=4648
xian lv 	仙侶	c=1 d=1 t=8027
xian mian 	線麪	c=1 d=1 t=4572
xian miao shu 	先描述	c=1 d=1 t=16195
xian qi 	仙氣	c=1 d=1 t=15556
xian qi 	掀起	c=1 d=1 t=15555
xian ran 	顯然	c=2 d=1 t=7095
xian shang 	線上	c=1 d=1 t=13360
xian sheng 	先生	c=5 d=3.24946 t=13449
xian shi 	現實	c=3 d=1.99005 t=10280
xian shi 	顯式	c=4 d=1 t=17067
xian shi 	顯示	c=2 d=1 t=12970
xian su zhi 	先素質	c=1 d=1 t=8082
xian xia 	閒暇	c=1 d=1 t=13104
xian xian xing 	先線性	c=1 d=1 t=7550
xian xiang 	現象	c=1 d=1 t=15069
xian xing 	現行	c=1 d=1 t=2586
xian xing 	線性	c=6 d=1.06223 t=12720
xian xing ceng 	線性層	c=3 d=1.96083 t=10719
xian ya suo 	線壓縮	c=1 d=1 t=15409
xian yan 	先驗	c=3 d=1 t=15151
xian zai 	現在	c=18 d=1.00183 t=16686
xian zhi 	限制	c=6 d=1.00005 t=15953
xian zhu xing 	顯著性	c=1 d=1 t=1098
xian zhuang 	現狀	c=2 d=1.04416 t=11142
xiang 	像	c=8 d=1 t=14517
xiang 	向	c=1 d=1 t=10340
xiang 	想	c=5 d=1.01211 t=15674
xiang 	相	c=1 d=1 t=2560
xiang 	項	c=1 d=1.00255 t=1779
xiang ban 	相伴	c=1 d=1 t=10462
xiang ban fa 	想辦法	c=1 d=1 t=3165
xiang bei 	相悖	c=1 d=1 t=10229
xiang bi 	相比	c=1 d=1 t=9469
xiang chu qu 	想出去	c=1 d=1 t=15670
xiang dao 	想到	c=1 d=1 t=15678
xiang du 	響度	c=1 d=1.056 t=4700
xiang du dian 	響度點	c=1 d=1 t=4701
xiang dui 	相對	c=4 d=1.02816 t=12961
xiang fa 	想法	c=5 d=1 t=16200
xiang guan 	相關	c=14 d=1 t=14980
xiang guan de 	相關的	c=1 d=1 t=2376
xiang guan xing 	相關性	c=2 d=1 t=14046
xiang guang 	向光	c=1 d=1 t=8175
xiang he 	祥和	c=1 d=1 t=16199
xiang hu 	相互	c=1 d=1 t=14897
xiang ji 	相機	c=21 d=2.01746 t=16805
xiang ji de 	相機的	c=2 d=1 t=8574
xiang jian 	相見	c=3 d=1.89583 t=14865
xiang jin 	相近	c=2 d=1 t=8145
xiang ju 	相聚	c=1 d=1 t=4619
xiang lai 	向來	c=0 d=0.1 t=15672
xiang lai er 	向來兒	c=1 d=1 t=15673
xiang le 	響了	c=1 d=1 t=15672
xiang liang 	向量	c=8 d=1.99005 t=12992
xiang mu 	項目	c=1 d=1 t=2694
xiang qi 	想起	c=1 d=1 t=15684
xiang qian 	向前	c=1 d=1 t=2073
xiang ri kui 	向日葵	c=1 d=1 t=16785
xiang shi 	像是	c=1 d=1 t=5975
xiang si 	相似	c=3 d=1 t=13647
xiang su 	像素	c=5 d=0.1 t=11084
xiang su dian 	像素點	c=1 d=1 t=11085
xiang tong 	相同	c=3 d=1.0002 t=15323
xiang wang 	嚮往	c=1 d=1 t=11881
xiang xiang 	想想	c=1 d=1 t=39
xiang xiang 	想象	c=2 d=1.93707 t=13284
xiang xin 	相信	c=2 d=1 t=16691
xiang yao 	想要	c=1 d=1 t=8548
xiang ying 	相應	c=4 d=1 t=14420
xiang ying 	響應	c=2 d=1.00021 t=16113
xiang zhe 	想着	c=4 d=2.03921 t=13272
xiao 	小	c=16 d=1.00439 t=17425
xiao bi 	小祕	c=1 d=1 t=10898
xiao fei 	消費	c=1 d=1 t=4057
xiao guo 	效果	c=9 d=1.63763 t=16341
xiao hao 	消耗	c=3 d=1.00032 t=8033
xiao hua 	消化	c=1 d=1 t=3112
xiao hua 	笑話	c=1 d=1 t=2194
xiao hui 	銷毀	c=2 d=1.99005 t=11326
xiao jia 	小家	c=1 d=1 t=2133
xiao jie 	小節	c=1 d=1 t=16224
xiao jie 	小結	c=3 d=1 t=16220
xiao juan ji 	小卷積	c=1 d=1 t=12885
xiao lai zhuang che 	小來撞車	c=1 d=1 t=1138
xiao li zi 	小例子	c=1 d=1 t=7699
xiao lun wen 	小論文	c=1 d=1 t=13908
xiao lv 	效率	c=6 d=1.00616 t=10887
xiao lv di 	效率低	c=1 d=1 t=1140
xiao mo kuai 	小模塊	c=1 d=1 t=12107
xiao mo xing 	小模型	c=2 d=1 t=15316
xiao pai 	小排	c=1 d=1 t=17422
xiao pi liang 	小批量	c=1 d=1 t=777
xiao qu 	校區	c=0 d=0.1 t=3563
xiao rong 	消融	c=3 d=1.00014 t=16259
xiao shu 	小數	c=2 d=1 t=14188
xiao shuo 	小說	c=2 d=1 t=16410
xiao si 	小四	c=2 d=1 t=17417
xiao wai sheng 	小外甥	c=1 d=1 t=326
xiao xi 	消息	c=1 d=1 t=5548
xiao xi hu 	小西湖	c=2 d=1.89137 t=15745
xiao xiao 	小小	c=1 d=1 t=13219
xiao xie 	小謝	c=1 d=1 t=2512
xiao xing 	小型	c=1 d=1 t=5176
xiao xue 	小學	c=1 d=1 t=13212
xiao yang ben 	小樣本	c=1 d=1 t=1104
xiao yu 	小於	c=0 d=0.1 t=14406
xiao zhong 	小衆	c=1 d=1 t=13792
xiao zu 	小組	c=1 d=1 t=17351
xie 	協	c=0 d=0.1 t=2475
xie 	寫	c=14 d=2.18542 t=15837
xie bao hu 	寫保護	c=1 d=1 t=2554
xie cheng 	協程	c=2 d=1.00013 t=13674
xie chu li qi 	協處理器	c=1 d=1 t=2476
xie dai ma 	寫代碼	c=1 d=1 t=9618
xie gai 	寫該	c=1 d=1 t=9715
xie lou 	泄漏	c=2 d=1.78663 t=11345
xie shi fu zhi 	寫時複製	c=1 d=1 t=2613
xie tong 	協同	c=1 d=1 t=6527
